workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time
mixed,10,PRR,38.9156,54.19019999999999,30.4156,0.9536,0.06592200000000001,4.8,0.48,0.3451,274.9428,16.8,0.8400000000000001,159.206
mixed,10,Proposed Hybrid,30.9338,46.2084,21.9942,0.9536,0.06592200000000001,6.0,0.6,0.39766,274.9428,16.8,0.8400000000000001,159.206
mixed,20,Contextual Bandit RL,91.1856,106.3075,33.6287,0.97596,0.069972,13.6,0.6799999999999999,0.29484,544.3884,52.4,2.62,308.898
mixed,20,PRM,78.6491,93.771,72.50609999999999,0.97596,0.069972,12.4,0.62,0.32594,544.3884,22.4,1.1199999999999999,308.898
mixed,20,PRR,83.6885,98.8104,65.6289,0.97596,0.069972,13.8,0.6900000000000001,0.26016,544.3884,47.2,2.3600000000000003,308.898
mixed,20,Proposed Hybrid,77.1035,92.22540000000001,49.856700000000004,0.97596,0.069972,15.2,0.76,0.28424,544.3884,48.4,2.4200000000000004,308.898
mixed,50,Contextual Bandit RL,269.05928,284.39188,109.33168,0.99102,0.06651,38.4,0.768,0.21646,1379.934,148.0,7.4,773.0899999999999
mixed,50,PRM,216.58472,231.91732000000002,207.49816,0.99102,0.06651,35.4,0.708,0.25532,1379.934,59.8,2.9899999999999998,773.0899999999999
mixed,50,PRR,210.11592000000002,225.44852,175.8184,0.99102,0.06651,37.2,0.744,0.22637999999999997,1379.934,149.8,7.49,773.0899999999999
mixed,50,Proposed Hybrid,220.89796,236.23056000000003,139.84904,0.99102,0.06651,41.6,0.8320000000000001,0.1701,1379.934,150.0,7.5,773.0899999999999
mixed,100,Contextual Bandit RL,502.36286,517.68768,234.74276,0.9956799999999999,0.065428,74.6,0.746,0.22080000000000002,2758.4676,309.0,15.45,1538.942
mixed,100,PRM,455.59324,470.91805999999997,443.84008000000006,0.9956799999999999,0.065428,75.2,0.752,0.22069999999999998,2758.4676,119.0,5.95,1538.942
mixed,100,PRR,418.99366,434.31848,363.9694,0.9956799999999999,0.065428,77.2,0.772,0.19985999999999998,2758.4676,341.6,17.080000000000002,1538.942
mixed,100,Proposed Hybrid,470.20176000000004,485.52658,332.59658,0.9956799999999999,0.065428,89.2,0.892,0.09284,2758.4676,322.4,16.119999999999997,1538.942
normal,5,Contextual Bandit RL,24.5216,37.586,6.76,0.9289,0.072296,3.8,0.76,0.592,97.983,12.2,0.61,70.45
normal,5,PRM,18.6844,31.7488,12.986799999999999,0.9289,0.072296,2.4,0.48,0.48098,97.983,5.2,0.26,70.45
normal,5,PRR,20.2512,33.3156,11.0928,0.9289,0.072296,2.6,0.52,0.44454000000000005,97.983,7.6,0.38,70.45
normal,5,Proposed Hybrid,21.4764,34.540800000000004,10.079600000000001,0.9289,0.072296,3.2,0.64,0.54636,97.983,10.2,0.51,70.45
normal,10,Contextual Bandit RL,53.532,66.714,15.147200000000002,0.96276,0.073328,8.0,0.8,0.46945999999999993,197.73,25.8,1.29,136.948
