workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead
mixed,20,Contextual Bandit RL,91.1856,106.3075,33.6287,0.9760,0.0700,0.6800,0.2948,544.3884,52.4000,2.6200
mixed,20,PRM,78.6491,93.7710,72.5061,0.9760,0.0700,0.6200,0.3259,544.3884,22.4000,1.1200
mixed,20,PRR,83.6885,98.8104,65.6289,0.9760,0.0700,0.6900,0.2602,544.3884,47.2000,2.3600
mixed,20,Proposed Hybrid,77.1035,92.2254,49.8567,0.9760,0.0700,0.7600,0.2842,544.3884,48.4000,2.4200
mixed,50,Contextual Bandit RL,269.0593,284.3919,109.3317,0.9910,0.0665,0.7680,0.2165,1379.9340,148.0000,7.4000
mixed,50,PRM,216.5847,231.9173,207.4982,0.9910,0.0665,0.7080,0.2553,1379.9340,59.8000,2.9900
mixed,50,PRR,210.1159,225.4485,175.8184,0.9910,0.0665,0.7440,0.2264,1379.9340,149.8000,7.4900
mixed,50,Proposed Hybrid,220.8980,236.2306,139.8490,0.9910,0.0665,0.8320,0.1701,1379.9340,150.0000,7.5000
mixed,100,Contextual Bandit RL,502.3629,517.6877,234.7428,0.9957,0.0654,0.7460,0.2208,2758.4676,309.0000,15.4500
mixed,100,PRM,455.5932,470.9181,443.8401,0.9957,0.0654,0.7520,0.2207,2758.4676,119.0000,5.9500
mixed,100,PRR,418.9937,434.3185,363.9694,0.9957,0.0654,0.7720,0.1999,2758.4676,341.6000,17.0800
mixed,100,Proposed Hybrid,470.2018,485.5266,332.5966,0.9957,0.0654,0.8920,0.0928,2758.4676,322.4000,16.1200
normal,5,Contextual Bandit RL,24.5216,37.5860,6.7600,0.9289,0.0723,0.7600,0.5920,97.9830,12.2000,0.6100
normal,5,PRM,18.6844,31.7488,12.9868,0.9289,0.0723,0.4800,0.4810,97.9830,5.2000,0.2600
normal,5,PRR,20.2512,33.3156,11.0928,0.9289,0.0723,0.5200,0.4445,97.9830,7.6000,0.3800
normal,5,Proposed Hybrid,21.4764,34.5408,10.0796,0.9289,0.0723,0.6400,0.5464,97.9830,10.2000,0.5100
normal,10,Contextual Bandit RL,53.5320,66.7140,15.1472,0.9628,0.0733,0.8000,0.4695,197.7300,25.8000,1.2900
normal,10,PRM,38.4846,51.6666,30.8414,0.9628,0.0733,0.6000,0.3821,197.7300,11.6000,0.5800
normal,10,PRR,40.0882,53.2702,29.2376,0.9628,0.0733,0.6200,0.3371,197.7300,17.2000,0.8600
normal,10,Proposed Hybrid,44.2126,57.3946,25.8464,0.9628,0.0733,0.7400,0.3054,197.7300,23.2000,1.1600
normal,20,Contextual Bandit RL,112.3111,125.3750,32.5021,0.9807,0.0752,0.8100,0.1846,391.9170,57.0000,2.8500
normal,20,PRM,78.6397,91.7036,67.0764,0.9807,0.0752,0.6800,0.2776,391.9170,24.0000,1.2000
normal,20,PRR,82.2159,95.2798,63.4731,0.9807,0.0752,0.6900,0.2440,391.9170,46.8000,2.3400
normal,20,Proposed Hybrid,91.1506,104.2145,54.5259,0.9807,0.0752,0.8100,0.2080,391.9170,53.8000,2.6900
normal,50,Contextual Bandit RL,301.3934,314.7406,94.3878,0.9924,0.0744,0.8160,0.1459,1001.0430,151.2000,7.5600
normal,50,PRM,207.5710,220.9182,192.4754,0.9924,0.0744,0.7600,0.2104,1001.0430,58.6000,2.9300
normal,50,PRR,219.5464,232.8936,174.9763,0.9924,0.0744,0.7680,0.1870,1001.0430,153.2000,7.6600
normal,50,Proposed Hybrid,240.5967,253.9439,143.9879,0.9924,0.0744,0.8440,0.1462,1001.0430,149.4000,7.4700
normal,100,Contextual Bandit RL,537.4131,550.3151,223.0604,0.9960,0.0772,0.7760,0.1719,1935.3030,283.0000,14.1500
normal,100,PRM,400.8776,413.7796,384.7664,0.9960,0.0772,0.7720,0.1887,1935.3030,118.0000,5.9000
normal,100,PRR,425.8325,438.7345,349.2568,0.9960,0.0772,0.8100,0.1583,1935.3030,314.8000,15.7400
normal,100,Proposed Hybrid,476.3052,489.2072,299.4203,0.9960,0.0772,0.9020,0.0917,1935.3030,297.0000,14.8500
