cpu_config,workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time
ARM-like,light,5,Proposed Hybrid,0.26256,6.40986,0.26256,0.56794,0.09241200000000001,0.0,0.0,0.9532399999999999,29.199599999999997,4.0,0.2,55.130399999999995
ARM-like,light,10,Contextual Bandit RL,0.23253999999999997,6.43536,0.23253999999999997,0.56048,0.09003799999999999,0.2,0.02,0.9550000000000001,58.9268,9.0,0.45,111.73299999999999
ARM-like,light,10,PRM,0.23253999999999997,6.43536,0.23253999999999997,0.56048,0.09003799999999999,0.2,0.02,0.9550000000000001,58.9268,9.0,0.45,111.73299999999999
ARM-like,light,10,PRR,0.23253999999999997,6.43536,0.23253999999999997,0.56048,0.09003799999999999,0.2,0.02,0.9550000000000001,58.9268,9.0,0.45,111.73299999999999
ARM-like,light,10,Proposed Hybrid,0.23253999999999997,6.43536,0.23253999999999997,0.56048,0.09003799999999999,0.2,0.02,0.9550000000000001,58.9268,9.0,0.45,111.73299999999999
ARM-like,light,20,Contextual Bandit RL,0.20467999999999997,6.35186,0.20467999999999997,0.57176,0.092946,0.6,0.030000000000000006,0.95942,116.79639999999999,19.0,0.95,215.7428
ARM-like,light,20,PRM,0.20467999999999997,6.35186,0.20467999999999997,0.57176,0.092946,0.6,0.030000000000000006,0.95942,116.79639999999999,19.0,0.95,215.7428
ARM-like,light,20,PRR,0.20467999999999997,6.35186,0.20467999999999997,0.57176,0.092946,0.6,0.030000000000000006,0.95942,116.79639999999999,19.0,0.95,215.7428
ARM-like,light,20,Proposed Hybrid,0.20467999999999997,6.35186,0.20467999999999997,0.57176,0.092946,0.6,0.030000000000000006,0.95942,116.79639999999999,19.0,0.95,215.7428
ARM-like,light,50,Contextual Bandit RL,0.31568,6.59654,0.28204,0.60792,0.0968,1.8,0.036,0.94244,298.3402,49.4,2.47,516.942
ARM-like,light,50,PRM,0.31668,6.59752,0.28302,0.60792,0.0968,1.8,0.036,0.94314,298.3402,49.2,2.46,516.942
ARM-like,light,50,PRR,0.30569999999999997,6.58656,0.28458,0.60792,0.0968,1.4,0.028000000000000004,0.94328,298.3402,49.2,2.46,516.942
ARM-like,light,50,Proposed Hybrid,0.31568,6.59654,0.28302,0.60792,0.0968,1.8,0.036,0.9418,298.3402,49.4,2.47,516.942
ARM-like,light,100,Contextual Bandit RL,0.33198,6.403180000000001,0.31514,0.59636,0.098272,4.6,0.046,0.93854,576.7638,99.4,4.970000000000001,1018.4440000000001
ARM-like,light,100,PRM,0.40308,6.4743200000000005,0.29106,0.59636,0.098272,4.6,0.046,0.9390000000000001,576.7638,99.8,4.99,1018.4440000000001
ARM-like,light,100,PRR,0.34804,6.4192599999999995,0.29569999999999996,0.59636,0.098272,4.0,0.04,0.9395,576.7638,99.8,4.99,1018.4440000000001
ARM-like,light,100,Proposed Hybrid,0.34138,6.4126,0.31528,0.59636,0.098272,4.6,0.046,0.9374800000000001,576.7638,99.8,4.99,1018.4440000000001
ARM-like,mixed,5,Contextual Bandit RL,17.7738,32.58086,10.5258,0.92566,0.065772,2.6,0.52,0.5383,126.6002,7.4,0.37,80.2932
ARM-like,mixed,5,PRM,21.52012,36.3272,16.65142,0.92566,0.065772,2.4,0.4800000000000001,0.47782,126.6002,5.0,0.25,80.2932
ARM-like,mixed,5,PRR,17.85098,32.65804,15.148840000000002,0.92566,0.065772,2.4,0.48,0.42808,126.6002,5.8,0.29,80.2932
ARM-like,mixed,5,Proposed Hybrid,17.65238,32.45944,11.778960000000001,0.92566,0.065772,3.0,0.6,0.6805,126.6002,7.0,0.35,80.2932
ARM-like,mixed,10,Contextual Bandit RL,52.8439,70.81404,27.24368,0.9610200000000001,0.056530000000000004,7.2,0.72,0.31576000000000004,307.2892,20.2,1.0100000000000002,185.959
ARM-like,mixed,10,PRM,50.57426,68.54438,42.20838,0.9610200000000001,0.056530000000000004,6.2,0.6199999999999999,0.3054,307.2892,10.8,0.54,185.959
ARM-like,mixed,10,PRR,51.201080000000005,69.17118,42.34956,0.9610200000000001,0.056530000000000004,6.2,0.62,0.2979,307.2892,16.8,0.8400000000000001,185.959
ARM-like,mixed,10,Proposed Hybrid,44.537800000000004,62.50792,30.361079999999998,0.9610200000000001,0.056530000000000004,7.2,0.72,0.49512,307.2892,20.0,1.0,185.959
ARM-like,mixed,20,Contextual Bandit RL,127.3433,145.13378,50.94084,0.97988,0.059744,15.6,0.78,0.18072000000000002,608.4338,55.2,2.7600000000000002,362.0674
ARM-like,mixed,20,PRM,105.7327,123.5232,93.91766,0.97988,0.059744,14.2,0.71,0.2479,608.4338,23.0,1.15,362.0674
ARM-like,mixed,20,PRR,108.52778,126.31824000000002,89.45555999999999,0.97988,0.059744,15.4,0.77,0.20926,608.4338,49.0,2.45,362.0674
ARM-like,mixed,20,Proposed Hybrid,101.47188,119.26235999999999,62.8592,0.97988,0.059744,16.8,0.8400000000000001,0.28198,608.4338,52.2,2.6100000000000003,362.0674
ARM-like,mixed,50,Contextual Bandit RL,348.90456,366.94292,133.65814,0.9925599999999999,0.05662199999999999,40.8,0.8160000000000001,0.16304,1542.2792000000002,158.8,7.94,908.1758
ARM-like,mixed,50,PRM,284.62394,302.6623,268.67368,0.9925599999999999,0.05662199999999999,39.0,0.78,0.19624,1542.2792000000002,58.2,2.91,908.1758
ARM-like,mixed,50,PRR,271.76480000000004,289.80316,232.19189999999998,0.9925599999999999,0.05662199999999999,41.4,0.828,0.19106,1542.2792000000002,154.8,7.74,908.1758
ARM-like,mixed,50,Proposed Hybrid,296.55342,314.59178,181.92562,0.9925599999999999,0.05662199999999999,45.2,0.9039999999999999,0.14701999999999998,1542.2792000000002,164.2,8.209999999999999,908.1758
ARM-like,mixed,100,Contextual Bandit RL,648.66568,666.69488,297.88104,0.99644,0.055656,79.2,0.792,0.16796,3082.9932,316.6,15.830000000000002,1809.1779999999999
ARM-like,mixed,100,PRM,594.76446,612.79366,570.51264,0.99644,0.055656,81.4,0.8140000000000001,0.17296,3082.9932,117.2,5.86,1809.1779999999999
ARM-like,mixed,100,PRR,546.06462,564.09382,479.1224,0.99644,0.055656,85.2,0.852,0.1646,3082.9932,352.0,17.6,1809.1779999999999
ARM-like,mixed,100,Proposed Hybrid,614.39804,632.4272199999999,420.96459999999996,0.99644,0.055656,94.2,0.942,0.08076,3082.9932,343.4,17.169999999999998,1809.1779999999999
ARM-like,normal,5,Contextual Bandit RL,32.50872,47.87862,7.10968,0.93886,0.062098,4.0,0.8,0.6493800000000001,109.5104,12.4,0.62,81.9774
ARM-like,normal,5,PRM,22.62732,37.9972,14.18168,0.93886,0.062098,2.8,0.5599999999999999,0.43798000000000004,109.5104,5.4,0.27,81.9774
ARM-like,normal,5,PRR,24.23484,39.6047,11.997200000000001,0.93886,0.062098,3.0,0.6,0.56806,109.5104,8.2,0.41,81.9774
ARM-like,normal,5,Proposed Hybrid,27.524739999999998,42.894619999999996,11.72942,0.93886,0.062098,3.6,0.72,0.6078,109.5104,11.6,0.58,81.9774
ARM-like,normal,10,Contextual Bandit RL,68.63124,84.13948,19.324199999999998,0.9681200000000001,0.062676,8.2,0.82,0.41592,220.99259999999998,28.2,1.41,160.2106
ARM-like,normal,10,PRM,49.08444,64.59266,37.13312,0.9681200000000001,0.062676,6.0,0.6,0.30254,220.99259999999998,11.8,0.5900000000000001,160.2106
