scheduler,cpu_config,num_vms,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time,workload_type,seed
Proposed Hybrid,ARM-like,50,846.2227,878.5264,343.8798,0.995,0.0308,50,1.0,0.1035,3068.858,317,15.85,1623.238,bursty,5
PRR,ARM-like,50,318.8681,338.7321,277.9194,0.9939,0.05003,44,0.88,0.1194,1698.372,193,9.65,999.34,mixed,1
PRM,ARM-like,50,378.7358,398.5998,369.0116,0.9939,0.05003,41,0.82,0.1457,1698.372,54,2.7,999.34,mixed,1
Contextual Bandit RL,ARM-like,50,375.5464,395.4104,182.801,0.9939,0.05003,41,0.82,0.1501,1698.372,171,8.55,999.34,mixed,1
Proposed Hybrid,ARM-like,50,380.8368,400.7008,249.0485,0.9939,0.05003,43,0.86,0.1198,1698.372,167,8.35,999.34,mixed,1
PRR,ARM-like,50,233.0841,248.0166,216.1712,0.9958,0.06669,43,0.86,0.2295,1276.726,120,6.0,749.764,mixed,2
PRM,ARM-like,50,221.3319,236.2644,204.0618,0.9958,0.06669,40,0.8,0.1873,1276.726,62,3.1,749.764,mixed,2
Contextual Bandit RL,ARM-like,50,202.8281,217.7606,113.9982,0.9958,0.06669,38,0.76,0.2433,1276.726,124,6.2,749.764,mixed,2
Proposed Hybrid,ARM-like,50,216.778,231.7105,149.3902,0.9958,0.06669,48,0.96,0.1508,1276.726,140,7.0,749.764,mixed,2
PRR,ARM-like,50,367.886,391.2011,295.3159,0.9991,0.04285,42,0.84,0.1351,1993.438,208,10.4,1166.783,mixed,3
PRM,ARM-like,50,406.8439,430.159,378.2545,0.9991,0.04285,42,0.84,0.129,1993.438,55,2.75,1166.783,mixed,3
Contextual Bandit RL,ARM-like,50,527.3978,550.7129,219.0065,0.9991,0.04285,41,0.82,0.1412,1993.438,211,10.55,1166.783,mixed,3
Proposed Hybrid,ARM-like,50,438.9256,462.2406,229.6997,0.9991,0.04285,45,0.9,0.0762,1993.438,219,10.95,1166.783,mixed,3
PRR,ARM-like,50,201.4754,216.5062,161.369,0.9852,0.06554,39,0.78,0.2022,1285.135,129,6.45,762.861,mixed,4
PRM,ARM-like,50,190.5241,205.5549,173.8711,0.9852,0.06554,35,0.7,0.2418,1285.135,62,3.1,762.861,mixed,4
Contextual Bandit RL,ARM-like,50,314.8867,329.9175,71.9031,0.9852,0.06554,43,0.86,0.1231,1285.135,134,6.7,762.861,mixed,4
Proposed Hybrid,ARM-like,50,196.2944,211.3253,113.7278,0.9852,0.06554,45,0.9,0.2536,1285.135,137,6.85,762.861,mixed,4
PRR,ARM-like,50,237.5104,254.5598,210.184,0.9888,0.058,39,0.78,0.2691,1457.725,124,6.2,862.131,mixed,5
PRM,ARM-like,50,225.684,242.7334,218.1694,0.9888,0.058,37,0.74,0.2774,1457.725,58,2.9,862.131,mixed,5
Contextual Bandit RL,ARM-like,50,323.8638,340.9132,80.5819,0.9888,0.058,41,0.82,0.1575,1457.725,154,7.7,862.131,mixed,5
Proposed Hybrid,ARM-like,50,249.9323,266.9817,167.7619,0.9888,0.058,45,0.9,0.1347,1457.725,158,7.9,862.131,mixed,5
PRR,ARM-like,100,0.4815,6.413,0.425,0.5817,0.09807,6,0.06,0.9116,563.495,100,5.0,1019.694,light,1
PRM,ARM-like,100,0.7502,6.6817,0.4518,0.5817,0.09807,6,0.06,0.9072,563.495,100,5.0,1019.694,light,1
Contextual Bandit RL,ARM-like,100,0.4669,6.3984,0.4669,0.5817,0.09807,6,0.06,0.9096,563.495,99,4.95,1019.694,light,1
Proposed Hybrid,ARM-like,100,0.4669,6.3984,0.4669,0.5817,0.09807,6,0.06,0.9096,563.495,99,4.95,1019.694,light,1
PRR,ARM-like,100,0.4895,6.6892,0.408,0.6155,0.09928,6,0.06,0.9226,588.966,100,5.0,1007.205,light,2
PRM,ARM-like,100,0.4687,6.6684,0.3619,0.6155,0.09928,7,0.07,0.9249,588.966,100,5.0,1007.205,light,2
Contextual Bandit RL,ARM-like,100,0.4377,6.6373,0.4377,0.6155,0.09928,7,0.07,0.9217,588.966,99,4.95,1007.205,light,2
Proposed Hybrid,ARM-like,100,0.4847,6.6844,0.4359,0.6155,0.09928,7,0.07,0.9181,588.966,101,5.05,1007.205,light,2
PRR,ARM-like,100,0.1875,6.1397,0.1346,0.584,0.09812,3,0.03,0.967,565.462,100,5.0,1019.178,light,3
PRM,ARM-like,100,0.1653,6.1176,0.1653,0.584,0.09812,4,0.04,0.9664,565.462,99,4.95,1019.178,light,3
Contextual Bandit RL,ARM-like,100,0.1653,6.1176,0.1653,0.584,0.09812,4,0.04,0.9664,565.462,99,4.95,1019.178,light,3
Proposed Hybrid,ARM-like,100,0.1653,6.1176,0.1653,0.584,0.09812,4,0.04,0.9664,565.462,99,4.95,1019.178,light,3
PRR,ARM-like,100,0.1977,6.4961,0.1977,0.5889,0.0935,1,0.01,0.9604,598.344,99,4.95,1069.462,light,4
PRM,ARM-like,100,0.1977,6.4961,0.1977,0.5889,0.0935,1,0.01,0.9604,598.344,99,4.95,1069.462,light,4
Contextual Bandit RL,ARM-like,100,0.1977,6.4961,0.1977,0.5889,0.0935,1,0.01,0.9604,598.344,99,4.95,1069.462,light,4
Proposed Hybrid,ARM-like,100,0.1977,6.4961,0.1977,0.5889,0.0935,1,0.01,0.9604,598.344,99,4.95,1069.462,light,4
PRR,ARM-like,100,0.384,6.3583,0.3132,0.6117,0.10239,4,0.04,0.9359,567.552,100,5.0,976.681,light,5
PRM,ARM-like,100,0.4335,6.4078,0.2786,0.6117,0.10239,5,0.05,0.9361,567.552,101,5.05,976.681,light,5
Contextual Bandit RL,ARM-like,100,0.3923,6.3665,0.3081,0.6117,0.10239,5,0.05,0.9346,567.552,101,5.05,976.681,light,5
Proposed Hybrid,ARM-like,100,0.3923,6.3665,0.3106,0.6117,0.10239,5,0.05,0.9329,567.552,101,5.05,976.681,light,5
PRR,ARM-like,100,524.7172,539.5464,424.4699,0.9966,0.0672,89,0.89,0.1136,2113.158,315,15.75,1487.988,normal,1
PRM,ARM-like,100,482.6641,497.4933,452.1696,0.9966,0.0672,83,0.83,0.1599,2113.158,114,5.7,1487.988,normal,1
Contextual Bandit RL,ARM-like,100,687.225,702.0541,290.0301,0.9966,0.0672,83,0.83,0.1562,2113.158,285,14.25,1487.988,normal,1
Proposed Hybrid,ARM-like,100,616.3077,631.1368,395.8658,0.9966,0.0672,96,0.96,0.1215,2113.158,299,14.95,1487.988,normal,1
PRR,ARM-like,100,557.6408,573.1427,446.9685,0.9977,0.06436,82,0.82,0.1363,2209.018,333,16.65,1553.758,normal,2
PRM,ARM-like,100,536.8935,552.3954,515.8951,0.9977,0.06436,86,0.86,0.1429,2209.018,116,5.8,1553.758,normal,2
Contextual Bandit RL,ARM-like,100,733.8912,749.3931,308.6845,0.9977,0.06436,83,0.83,0.1488,2209.018,293,14.65,1553.758,normal,2
Proposed Hybrid,ARM-like,100,646.0084,661.5102,384.4414,0.9977,0.06436,87,0.87,0.114,2209.018,304,15.2,1553.758,normal,2
PRR,ARM-like,100,542.4402,557.3211,452.5867,0.9983,0.06709,88,0.88,0.1089,2120.534,329,16.45,1490.604,normal,3
PRM,ARM-like,100,503.456,518.3369,490.5211,0.9983,0.06709,83,0.83,0.1506,2120.534,120,6.0,1490.604,normal,3
Contextual Bandit RL,ARM-like,100,725.3356,740.2165,245.9811,0.9983,0.06709,85,0.85,0.1767,2120.534,306,15.3,1490.604,normal,3
Proposed Hybrid,ARM-like,100,603.5196,618.4005,383.0835,0.9983,0.06709,93,0.93,0.0862,2120.534,320,16.0,1490.604,normal,3
PRR,ARM-like,100,553.7212,569.4669,466.7996,0.9952,0.0632,87,0.87,0.1815,2243.755,329,16.45,1582.225,normal,4
PRM,ARM-like,100,532.9508,548.6964,513.805,0.9952,0.0632,81,0.81,0.1556,2243.755,114,5.7,1582.225,normal,4
Contextual Bandit RL,ARM-like,100,690.5414,706.287,274.9503,0.9952,0.0632,80,0.8,0.163,2243.755,302,15.1,1582.225,normal,4
Proposed Hybrid,ARM-like,100,607.7861,623.5317,383.6207,0.9952,0.0632,88,0.88,0.0607,2243.755,318,15.9,1582.225,normal,4
PRR,ARM-like,100,543.0806,558.0172,457.7942,0.9954,0.06664,88,0.88,0.1445,2128.464,316,15.8,1500.489,normal,5
PRM,ARM-like,100,513.474,528.4106,496.0293,0.9954,0.06664,85,0.85,0.1319,2128.464,115,5.75,1500.489,normal,5
Contextual Bandit RL,ARM-like,100,742.3565,757.293,259.5397,0.9954,0.06664,91,0.91,0.0975,2128.464,312,15.6,1500.489,normal,5
Proposed Hybrid,ARM-like,100,607.4556,622.3922,386.7181,0.9954,0.06664,92,0.92,0.1022,2128.464,315,15.75,1500.489,normal,5
PRR,ARM-like,100,2332.9421,2380.3301,1950.3412,0.9994,0.02109,100,1.0,0.3342,11254.65,1044,52.2,4741.85,cpu_heavy,1
PRM,ARM-like,100,2166.3188,2213.7068,2095.1678,0.9994,0.02109,97,0.97,0.0206,11254.65,106,5.3,4741.85,cpu_heavy,1
Contextual Bandit RL,ARM-like,100,3741.633,3789.021,923.8452,0.9994,0.02109,95,0.95,0.0516,11254.65,957,47.85,4741.85,cpu_heavy,1
Proposed Hybrid,ARM-like,100,2789.3693,2836.7573,1200.3795,0.9994,0.02109,98,0.98,0.021,11254.65,977,48.85,4741.85,cpu_heavy,1
PRR,ARM-like,100,2434.2796,2483.4602,2046.3315,0.9996,0.02032,99,0.99,0.0146,11680.39,1073,53.65,4920.109,cpu_heavy,2
PRM,ARM-like,100,2311.3095,2360.4901,2303.5038,0.9996,0.02032,96,0.96,0.031,11680.39,107,5.35,4920.109,cpu_heavy,2
Contextual Bandit RL,ARM-like,100,4044.304,4093.4846,865.3485,0.9996,0.02032,97,0.97,0.0336,11680.39,999,49.95,4920.109,cpu_heavy,2
Proposed Hybrid,ARM-like,100,2789.1222,2838.3028,1343.7799,0.9996,0.02032,97,0.97,0.0374,11680.39,996,49.8,4920.109,cpu_heavy,2
PRR,ARM-like,100,2399.4509,2446.9758,1994.6775,0.9997,0.02104,99,0.99,0.0172,11287.146,1041,52.05,4753.822,cpu_heavy,3
PRM,ARM-like,100,2253.3303,2300.8552,2206.7096,0.9997,0.02104,96,0.96,0.0361,11287.146,147,7.35,4753.822,cpu_heavy,3
Contextual Bandit RL,ARM-like,100,3790.4782,3838.003,861.3849,0.9997,0.02104,95,0.95,0.0612,11287.146,979,48.95,4753.822,cpu_heavy,3
Proposed Hybrid,ARM-like,100,2725.0126,2772.5374,1240.6503,0.9997,0.02104,97,0.97,0.0552,11287.146,990,49.5,4753.822,cpu_heavy,3
PRR,ARM-like,100,2487.5402,2537.3722,2133.7172,0.999,0.02005,99,0.99,0.1278,11835.1,1097,54.85,4987.97,cpu_heavy,4
PRM,ARM-like,100,2354.4577,2404.2897,2341.8781,0.999,0.02005,96,0.96,0.0315,11835.1,104,5.2,4987.97,cpu_heavy,4
Contextual Bandit RL,ARM-like,100,3764.6431,3814.4751,1048.8517,0.999,0.02005,95,0.95,0.0531,11835.1,1018,50.9,4987.97,cpu_heavy,4
Proposed Hybrid,ARM-like,100,2786.5518,2836.3838,1235.3819,0.999,0.02005,97,0.97,0.0273,11835.1,1044,52.2,4987.97,cpu_heavy,4
PRR,ARM-like,100,2363.5635,2411.2368,1990.5419,0.9991,0.02096,98,0.98,0.0398,11322.407,1046,52.3,4771.549,cpu_heavy,5
PRM,ARM-like,100,2245.908,2293.5813,2224.0691,0.9991,0.02096,98,0.98,0.0255,11322.407,118,5.9,4771.549,cpu_heavy,5
Contextual Bandit RL,ARM-like,100,3774.7363,3822.4096,903.2218,0.9991,0.02096,96,0.96,0.0374,11322.407,980,49.0,4771.549,cpu_heavy,5
Proposed Hybrid,ARM-like,100,2765.2941,2812.9674,1174.6166,0.9991,0.02096,99,0.99,0.0699,11322.407,1007,50.35,4771.549,cpu_heavy,5
PRR,ARM-like,100,1326.1506,1357.1336,1131.3329,0.9984,0.03222,93,0.93,0.0546,5886.759,656,32.8,3103.414,bursty,1
PRM,ARM-like,100,1246.3942,1277.3771,1202.2363,0.9984,0.03222,89,0.89,0.0806,5886.759,108,5.4,3103.414,bursty,1
Contextual Bandit RL,ARM-like,100,1914.047,1945.0299,615.0949,0.9984,0.03222,88,0.88,0.0808,5886.759,599,29.95,3103.414,bursty,1
Proposed Hybrid,ARM-like,100,1614.8146,1645.7976,828.4556,0.9984,0.03222,98,0.98,0.0519,5886.759,620,31.0,3103.414,bursty,1
PRR,ARM-like,100,1431.2024,1464.3367,1195.0531,0.9992,0.03016,95,0.95,0.0443,6295.505,725,36.25,3316.044,bursty,2
PRM,ARM-like,100,1422.5843,1455.7185,1398.372,0.9992,0.03016,92,0.92,0.0653,6295.505,109,5.45,3316.044,bursty,2
Contextual Bandit RL,ARM-like,100,2023.0925,2056.2268,678.1162,0.9992,0.03016,92,0.92,0.0825,6295.505,647,32.35,3316.044,bursty,2
Proposed Hybrid,ARM-like,100,1684.546,1717.6802,862.1715,0.9992,0.03016,96,0.96,0.0352,6295.505,671,33.55,3316.044,bursty,2
PRR,ARM-like,100,1401.4033,1432.5508,1181.8182,0.9997,0.0321,94,0.94,0.0771,5918.031,673,33.65,3115.613,bursty,3
PRM,ARM-like,100,1351.3823,1382.5299,1312.4941,0.9997,0.0321,93,0.93,0.0721,5918.031,138,6.9,3115.613,bursty,3
Contextual Bandit RL,ARM-like,100,1698.5076,1729.6551,605.5782,0.9997,0.0321,89,0.89,0.0806,5918.031,622,31.1,3115.613,bursty,3
Proposed Hybrid,ARM-like,100,1544.7922,1575.9397,887.4186,0.9997,0.0321,98,0.98,0.0651,5918.031,636,31.8,3115.613,bursty,3
PRR,ARM-like,100,1488.4265,1522.3426,1303.0691,0.9972,0.0294,97,0.97,0.0574,6444.062,751,37.55,3401.042,bursty,4
PRM,ARM-like,100,1452.9138,1486.8299,1444.925,0.9972,0.0294,88,0.88,0.0715,6444.062,108,5.4,3401.042,bursty,4
Contextual Bandit RL,ARM-like,100,2039.2006,2073.1167,503.6865,0.9972,0.0294,91,0.91,0.0903,6444.062,671,33.55,3401.042,bursty,4
Proposed Hybrid,ARM-like,100,1576.7637,1610.6798,856.461,0.9972,0.0294,97,0.97,0.0613,6444.062,688,34.4,3401.042,bursty,4
PRR,ARM-like,100,1376.6136,1407.9394,1169.8774,0.9974,0.03184,92,0.92,0.0568,5951.895,654,32.7,3140.626,bursty,5
PRM,ARM-like,100,1338.8223,1370.1481,1321.0307,0.9974,0.03184,92,0.92,0.0694,5951.895,105,5.25,3140.626,bursty,5
Contextual Bandit RL,ARM-like,100,1639.1051,1670.4308,717.3252,0.9974,0.03184,90,0.9,0.0723,5951.895,609,30.45,3140.626,bursty,5
Proposed Hybrid,ARM-like,100,1543.4621,1574.7879,806.2318,0.9974,0.03184,100,1.0,0.0626,5951.895,639,31.95,3140.626,bursty,5
PRR,ARM-like,100,722.3283,742.9991,654.3469,0.997,0.04823,92,0.92,0.0953,3534.711,422,21.1,2073.222,mixed,1
PRM,ARM-like,100,786.0195,806.6903,765.7161,0.997,0.04823,85,0.85,0.1414,3534.711,112,5.6,2073.222,mixed,1
Contextual Bandit RL,ARM-like,100,772.8509,793.5217,457.6871,0.997,0.04823,80,0.8,0.1406,3534.711,343,17.15,2073.222,mixed,1
Proposed Hybrid,ARM-like,100,728.5548,749.2256,520.3465,0.997,0.04823,93,0.93,0.0656,3534.711,383,19.15,2073.222,mixed,1
PRR,ARM-like,100,539.0211,556.3904,488.4931,0.9982,0.05747,85,0.85,0.1887,2970.149,353,17.65,1740.069,mixed,2
PRM,ARM-like,100,560.222,577.5913,536.2864,0.9982,0.05747,83,0.83,0.1648,2970.149,119,5.95,1740.069,mixed,2
Contextual Bandit RL,ARM-like,100,597.8511,615.2204,266.2544,0.9982,0.05747,81,0.81,0.1744,2970.149,316,15.8,1740.069,mixed,2
Proposed Hybrid,ARM-like,100,593.557,610.9263,347.095,0.9982,0.05747,97,0.97,0.0962,2970.149,341,17.05,1740.069,mixed,2
PRR,ARM-like,100,560.0509,578.8141,470.1887,0.9995,0.05327,86,0.86,0.1315,3208.503,369,18.45,1877.348,mixed,3
PRM,ARM-like,100,653.813,672.5762,629.3277,0.9995,0.05327,85,0.85,0.1357,3208.503,113,5.65,1877.348,mixed,3
Contextual Bandit RL,ARM-like,100,729.9237,748.6869,295.8985,0.9995,0.05327,76,0.76,0.1998,3208.503,349,17.45,1877.348,mixed,3
Proposed Hybrid,ARM-like,100,746.238,765.0011,528.6228,0.9995,0.05327,95,0.95,0.0399,3208.503,369,18.45,1877.348,mixed,3
PRR,ARM-like,100,443.3121,459.4961,377.1143,0.9931,0.06136,82,0.82,0.1729,2767.464,301,15.05,1629.72,mixed,4
PRM,ARM-like,100,450.3378,466.5218,418.1287,0.9931,0.06136,76,0.76,0.2126,2767.464,125,6.25,1629.72,mixed,4
Contextual Bandit RL,ARM-like,100,508.8348,525.0188,227.6381,0.9931,0.06136,78,0.78,0.1631,2767.464,263,13.15,1629.72,mixed,4
Proposed Hybrid,ARM-like,100,450.96,467.144,296.439,0.9931,0.06136,94,0.94,0.1081,2767.464,303,15.15,1629.72,mixed,4
PRR,ARM-like,100,465.6107,482.7694,405.469,0.9944,0.05795,81,0.81,0.2346,2934.139,315,15.75,1725.531,mixed,5
PRM,ARM-like,100,523.43,540.5887,503.1043,0.9944,0.05795,78,0.78,0.2103,2934.139,117,5.85,1725.531,mixed,5
Contextual Bandit RL,ARM-like,100,633.8679,651.0266,241.9271,0.9944,0.05795,81,0.81,0.1619,2934.139,312,15.6,1725.531,mixed,5
Proposed Hybrid,ARM-like,100,552.6804,569.8391,412.3197,0.9944,0.05795,92,0.92,0.094,2934.139,321,16.05,1725.531,mixed,5
PRR,x86-like,5,0.374,6.27,0.374,0.6815,0.11558,0,0.0,0.9232,29.48,4,0.2,43.26,light,1
PRM,x86-like,5,0.374,6.27,0.374,0.6815,0.11558,0,0.0,0.9232,29.48,4,0.2,43.26,light,1
Contextual Bandit RL,x86-like,5,0.374,6.27,0.374,0.6815,0.11558,0,0.0,0.9232,29.48,4,0.2,43.26,light,1
Proposed Hybrid,x86-like,5,0.374,6.27,0.374,0.6815,0.11558,0,0.0,0.9232,29.48,4,0.2,43.26,light,1
PRR,x86-like,5,-0.0,4.242,0.0,0.4022,0.0948,0,0.0,1.0,21.21,4,0.2,52.74,light,2
PRM,x86-like,5,-0.0,4.242,0.0,0.4022,0.0948,0,0.0,1.0,21.21,4,0.2,52.74,light,2
Contextual Bandit RL,x86-like,5,-0.0,4.242,0.0,0.4022,0.0948,0,0.0,1.0,21.21,4,0.2,52.74,light,2
Proposed Hybrid,x86-like,5,-0.0,4.242,0.0,0.4022,0.0948,0,0.0,1.0,21.21,4,0.2,52.74,light,2
PRR,x86-like,5,0.0,4.828,0.0,0.4884,0.10115,0,0.0,1.0,24.14,4,0.2,49.43,light,3
PRM,x86-like,5,0.0,4.828,0.0,0.4884,0.10115,0,0.0,1.0,24.14,4,0.2,49.43,light,3
Contextual Bandit RL,x86-like,5,0.0,4.828,0.0,0.4884,0.10115,0,0.0,1.0,24.14,4,0.2,49.43,light,3
Proposed Hybrid,x86-like,5,0.0,4.828,0.0,0.4884,0.10115,0,0.0,1.0,24.14,4,0.2,49.43,light,3
PRR,x86-like,5,0.0,5.832,0.0,0.4788,0.0821,0,0.0,1.0,29.16,4,0.2,60.9,light,4
PRM,x86-like,5,0.0,5.832,0.0,0.4788,0.0821,0,0.0,1.0,29.16,4,0.2,60.9,light,4
Contextual Bandit RL,x86-like,5,0.0,5.832,0.0,0.4788,0.0821,0,0.0,1.0,29.16,4,0.2,60.9,light,4
Proposed Hybrid,x86-like,5,0.0,5.832,0.0,0.4788,0.0821,0,0.0,1.0,29.16,4,0.2,60.9,light,4
PRR,x86-like,5,0.0,5.328,0.0,0.41,0.07695,0,0.0,1.0,26.64,4,0.2,64.98,light,5
PRM,x86-like,5,0.0,5.328,0.0,0.41,0.07695,0,0.0,1.0,26.64,4,0.2,64.98,light,5
Contextual Bandit RL,x86-like,5,0.0,5.328,0.0,0.41,0.07695,0,0.0,1.0,26.64,4,0.2,64.98,light,5
Proposed Hybrid,x86-like,5,0.0,5.328,0.0,0.41,0.07695,0,0.0,1.0,26.64,4,0.2,64.98,light,5
PRR,x86-like,5,30.234,44.976,18.078,0.9356,0.06347,4,0.8,0.3331,110.565,9,0.45,78.78,normal,1
PRM,x86-like,5,25.696,40.438,10.66,0.9356,0.06347,3,0.6,0.3859,110.565,6,0.3,78.78,normal,1
Contextual Bandit RL,x86-like,5,39.796,54.538,6.494,0.9356,0.06347,5,1.0,0.8961,110.565,15,0.75,78.78,normal,1
Proposed Hybrid,x86-like,5,35.302,50.044,20.27,0.9356,0.06347,4,0.8,0.8416,110.565,12,0.6,78.78,normal,1
PRR,x86-like,5,8.806,19.414,5.68,0.9369,0.08832,1,0.2,0.4658,79.56,6,0.3,56.61,normal,2
PRM,x86-like,5,9.13,19.738,7.566,0.9369,0.08832,1,0.2,0.6517,79.56,5,0.25,56.61,normal,2
Contextual Bandit RL,x86-like,5,10.738,21.346,3.326,0.9369,0.08832,3,0.6,0.485,79.56,11,0.55,56.61,normal,2
Proposed Hybrid,x86-like,5,9.606,20.214,6.48,0.9369,0.08832,1,0.2,0.6402,79.56,6,0.3,56.61,normal,2
PRR,x86-like,5,24.882,36.95,6.994,0.9601,0.07955,4,0.8,0.2647,90.51,10,0.5,62.85,normal,3
PRM,x86-like,5,23.118,35.186,14.638,0.9601,0.07955,3,0.6,0.5512,90.51,5,0.25,62.85,normal,3
Contextual Bandit RL,x86-like,5,22.352,34.42,2.324,0.9601,0.07955,3,0.6,0.3447,90.51,11,0.55,62.85,normal,3
Proposed Hybrid,x86-like,5,19.228,31.296,6.434,0.9601,0.07955,5,1.0,0.5928,90.51,12,0.6,62.85,normal,3
PRR,x86-like,5,17.86,32.442,16.926,0.9049,0.06206,1,0.2,0.6825,109.365,6,0.3,80.57,normal,4
PRM,x86-like,5,20.252,34.834,20.252,0.9049,0.06206,2,0.4,0.2885,109.365,4,0.2,80.57,normal,4
Contextual Bandit RL,x86-like,5,22.66,37.242,11.068,0.9049,0.06206,3,0.6,0.773,109.365,12,0.6,80.57,normal,4
Proposed Hybrid,x86-like,5,24.26,38.842,9.602,0.9049,0.06206,3,0.6,0.2602,109.365,12,0.6,80.57,normal,4
PRR,x86-like,5,19.474,32.796,7.786,0.907,0.06808,3,0.6,0.4766,99.915,7,0.35,73.44,normal,5
PRM,x86-like,5,15.226,28.548,11.818,0.907,0.06808,3,0.6,0.5276,99.915,6,0.3,73.44,normal,5
Contextual Bandit RL,x86-like,5,27.062,40.384,10.588,0.907,0.06808,5,1.0,0.4612,99.915,12,0.6,73.44,normal,5
Proposed Hybrid,x86-like,5,18.986,32.308,7.612,0.907,0.06808,3,0.6,0.397,99.915,9,0.45,73.44,normal,5
PRR,x86-like,5,95.872,141.852,55.896,0.9869,0.02146,4,0.8,0.221,574.75,20,1.0,232.95,cpu_heavy,1
PRM,x86-like,5,80.218,126.198,32.116,0.9869,0.02146,3,0.6,0.2672,574.75,6,0.3,232.95,cpu_heavy,1
Contextual Bandit RL,x86-like,5,161.012,206.992,7.134,0.9869,0.02146,5,1.0,0.9859,574.75,46,2.3,232.95,cpu_heavy,1
Proposed Hybrid,x86-like,5,128.236,174.216,15.934,0.9869,0.02146,4,0.8,0.7528,574.75,46,2.3,232.95,cpu_heavy,1
PRR,x86-like,5,54.578,89.532,49.074,0.9884,0.02828,2,0.4,0.2344,436.925,5,0.25,176.82,cpu_heavy,2
PRM,x86-like,5,57.578,92.532,52.074,0.9884,0.02828,2,0.4,0.2328,436.925,5,0.25,176.82,cpu_heavy,2
Contextual Bandit RL,x86-like,5,63.378,98.332,23.288,0.9884,0.02828,3,0.6,0.6451,436.925,16,0.8,176.82,cpu_heavy,2
Proposed Hybrid,x86-like,5,64.978,99.932,30.392,0.9884,0.02828,3,0.6,0.447,436.925,18,0.9,176.82,cpu_heavy,2
PRR,x86-like,5,80.574,119.422,28.646,0.9931,0.02556,4,0.8,0.2195,485.6,21,1.05,195.58,cpu_heavy,3
PRM,x86-like,5,83.432,122.28,56.82,0.9931,0.02556,3,0.6,0.2485,485.6,5,0.25,195.58,cpu_heavy,3
Contextual Bandit RL,x86-like,5,127.008,165.856,12.2,0.9931,0.02556,5,1.0,0.9491,485.6,34,1.7,195.58,cpu_heavy,3
Proposed Hybrid,x86-like,5,96.452,135.3,14.6,0.9931,0.02556,4,0.8,0.8132,485.6,28,1.4,195.58,cpu_heavy,3
PRR,x86-like,5,87.366,132.918,73.676,0.9795,0.0215,3,0.6,0.7658,569.4,22,1.1,232.53,cpu_heavy,4
PRM,x86-like,5,88.686,134.238,88.686,0.9795,0.0215,2,0.4,0.2202,569.4,4,0.2,232.53,cpu_heavy,4
Contextual Bandit RL,x86-like,5,92.166,137.718,46.768,0.9795,0.0215,3,0.6,0.5097,569.4,18,0.9,232.53,cpu_heavy,4
Proposed Hybrid,x86-like,5,104.966,150.518,28.262,0.9795,0.0215,3,0.6,0.5154,569.4,27,1.35,232.53,cpu_heavy,4
PRR,x86-like,5,68.596,110.786,29.434,0.9804,0.02324,3,0.6,0.2346,527.375,7,0.35,215.17,cpu_heavy,5
PRM,x86-like,5,68.21,110.4,56.456,0.9804,0.02324,3,0.6,0.2745,527.375,5,0.25,215.17,cpu_heavy,5
Contextual Bandit RL,x86-like,5,108.854,151.044,21.266,0.9804,0.02324,5,1.0,0.5171,527.375,38,1.9,215.17,cpu_heavy,5
Proposed Hybrid,x86-like,5,93.428,135.618,29.82,0.9804,0.02324,5,1.0,0.5144,527.375,24,1.2,215.17,cpu_heavy,5
PRR,x86-like,5,68.838,102.014,42.786,0.9701,0.02924,4,0.8,0.3092,331.76,12,0.6,171.0,bursty,1
PRM,x86-like,5,52.614,85.79,28.962,0.9701,0.02924,3,0.6,0.2527,331.76,5,0.25,171.0,bursty,1
Contextual Bandit RL,x86-like,5,114.204,147.38,10.83,0.9701,0.02924,5,1.0,0.9866,331.76,31,1.55,171.0,bursty,1
Proposed Hybrid,x86-like,5,89.01,122.186,20.43,0.9701,0.02924,4,0.8,0.8077,331.76,33,1.65,171.0,bursty,1
PRR,x86-like,5,18.164,38.108,15.96,0.9744,0.04886,1,0.2,0.4179,199.44,5,0.25,102.34,bursty,2
PRM,x86-like,5,21.764,41.708,19.56,0.9744,0.04886,2,0.4,0.3484,199.44,5,0.25,102.34,bursty,2
Contextual Bandit RL,x86-like,5,46.2,66.144,12.242,0.9744,0.04886,4,0.8,0.6414,199.44,14,0.7,102.34,bursty,2
Proposed Hybrid,x86-like,5,21.364,41.308,10.364,0.9744,0.04886,1,0.2,0.6799,199.44,13,0.65,102.34,bursty,2
PRR,x86-like,5,49.996,74.614,13.476,0.9931,0.04034,3,0.6,0.2359,246.18,16,0.8,123.95,bursty,3
PRM,x86-like,5,56.03,80.648,37.296,0.9931,0.04034,3,0.6,0.3623,246.18,5,0.25,123.95,bursty,3
Contextual Bandit RL,x86-like,5,70.554,95.172,9.912,0.9931,0.04034,4,0.8,0.8369,246.18,21,1.05,123.95,bursty,3
Proposed Hybrid,x86-like,5,40.724,65.342,20.15,0.9931,0.04034,3,0.6,0.9271,246.18,16,0.8,123.95,bursty,3
PRR,x86-like,5,53.102,85.764,45.394,0.9454,0.02895,3,0.6,0.7561,326.62,14,0.7,172.74,bursty,4
PRM,x86-like,5,59.326,91.988,59.326,0.9454,0.02895,2,0.4,0.2318,326.62,4,0.2,172.74,bursty,4
