workload_type,num_vms,cpu_config,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead
mixed,100,ARM-like,PRM,594.7645,612.7937,570.5126,0.9964,0.0557,0.8140,0.1730,3082.9932,117.2000,5.8600
mixed,100,ARM-like,PRR,546.0646,564.0938,479.1224,0.9964,0.0557,0.8520,0.1646,3082.9932,352.0000,17.6000
mixed,100,ARM-like,Proposed Hybrid,614.3980,632.4272,420.9646,0.9964,0.0557,0.9420,0.0808,3082.9932,343.4000,17.1700
normal,5,ARM-like,Contextual Bandit RL,32.5087,47.8786,7.1097,0.9389,0.0621,0.8000,0.6494,109.5104,12.4000,0.6200
normal,5,ARM-like,PRM,22.6273,37.9972,14.1817,0.9389,0.0621,0.5600,0.4380,109.5104,5.4000,0.2700
normal,5,ARM-like,PRR,24.2348,39.6047,11.9972,0.9389,0.0621,0.6000,0.5681,109.5104,8.2000,0.4100
normal,5,ARM-like,Proposed Hybrid,27.5247,42.8946,11.7294,0.9389,0.0621,0.7200,0.6078,109.5104,11.6000,0.5800
normal,10,ARM-like,Contextual Bandit RL,68.6312,84.1395,19.3242,0.9681,0.0627,0.8200,0.4159,220.9926,28.2000,1.4100
normal,10,ARM-like,PRM,49.0844,64.5927,37.1331,0.9681,0.0627,0.6000,0.3025,220.9926,11.8000,0.5900
normal,10,ARM-like,PRR,50.3242,65.8324,34.2489,0.9681,0.0627,0.7200,0.4016,220.9926,18.6000,0.9300
normal,10,ARM-like,Proposed Hybrid,58.1289,73.6371,28.1355,0.9681,0.0627,0.8000,0.3955,220.9926,25.6000,1.2800
normal,20,ARM-like,Contextual Bandit RL,146.1262,161.4955,41.4991,0.9836,0.0641,0.8800,0.1822,438.0250,60.2000,3.0100
normal,20,ARM-like,PRM,101.0509,116.4202,84.2443,0.9836,0.0641,0.7300,0.2277,438.0250,23.8000,1.1900
normal,20,ARM-like,PRR,104.5203,119.8896,78.1469,0.9836,0.0641,0.7600,0.2963,438.0250,50.8000,2.5400
normal,20,ARM-like,Proposed Hybrid,122.1732,137.5425,70.4255,0.9836,0.0641,0.8700,0.2888,438.0250,59.2000,2.9600
normal,50,ARM-like,Contextual Bandit RL,389.9503,405.6529,123.3742,0.9935,0.0633,0.8560,0.1370,1118.8128,156.2000,7.8100
normal,50,ARM-like,PRM,266.2334,281.9361,246.4340,0.9935,0.0633,0.8080,0.1717,1118.8128,58.8000,2.9400
normal,50,ARM-like,PRR,279.5440,295.2466,224.2160,0.9935,0.0633,0.8360,0.1776,1118.8128,159.4000,7.9700
normal,50,ARM-like,Proposed Hybrid,320.2197,335.9224,180.9617,0.9935,0.0633,0.8800,0.1592,1118.8128,156.6000,7.8300
normal,100,ARM-like,Contextual Bandit RL,715.8699,731.0487,275.8371,0.9966,0.0657,0.8440,0.1484,2162.9858,299.6000,14.9800
normal,100,ARM-like,PRM,513.8877,529.0665,493.6840,0.9966,0.0657,0.8360,0.1482,2162.9858,115.8000,5.7900
normal,100,ARM-like,PRR,544.3200,559.4989,449.7238,0.9966,0.0657,0.8680,0.1370,2162.9858,324.4000,16.2200
normal,100,ARM-like,Proposed Hybrid,616.2155,631.3943,386.7459,0.9966,0.0657,0.9120,0.0969,2162.9858,311.2000,15.5600
bursty,5,RISC-V-like,Contextual Bandit RL,77.3696,107.5931,16.6004,0.9686,0.0333,0.8400,0.6905,302.2350,21.8000,1.0900
bursty,5,RISC-V-like,PRM,48.7004,78.9239,34.5261,0.9686,0.0333,0.5200,0.3022,302.2350,5.2000,0.2600
bursty,5,RISC-V-like,PRR,49.2383,79.4617,26.4748,0.9686,0.0333,0.5600,0.4253,302.2350,10.8000,0.5400
bursty,5,RISC-V-like,Proposed Hybrid,57.0031,87.2265,15.8396,0.9686,0.0333,0.6400,0.6888,302.2350,20.2000,1.0100
bursty,10,RISC-V-like,Contextual Bandit RL,178.6725,209.3051,36.4588,0.9834,0.0324,0.9000,0.2577,612.6524,55.2000,2.7600
bursty,10,RISC-V-like,PRM,110.5390,141.1716,93.8351,0.9834,0.0324,0.6600,0.2115,612.6524,11.0000,0.5500
bursty,10,RISC-V-like,PRR,115.7451,146.3777,83.6432,0.9834,0.0324,0.7800,0.2728,612.6524,29.6000,1.4800
bursty,10,RISC-V-like,Proposed Hybrid,137.0088,167.6414,46.5084,0.9834,0.0324,0.8200,0.3823,612.6524,50.4000,2.5200
bursty,20,RISC-V-like,Contextual Bandit RL,357.3984,387.6195,79.0616,0.9914,0.0329,0.9500,0.1766,1208.8434,121.4000,6.0700
bursty,20,RISC-V-like,PRM,235.7496,265.9707,216.4746,0.9914,0.0329,0.7900,0.1500,1208.8434,22.6000,1.1300
bursty,20,RISC-V-like,PRR,246.9718,277.1929,189.4633,0.9914,0.0329,0.8300,0.2574,1208.8434,98.0000,4.9000
bursty,20,RISC-V-like,Proposed Hybrid,287.6734,317.8945,120.0583,0.9914,0.0329,0.9000,0.2370,1208.8434,112.4000,5.6200
bursty,50,RISC-V-like,Contextual Bandit RL,969.3814,1000.5888,242.2515,0.9966,0.0320,0.9200,0.0971,3120.7434,327.4000,16.3700
bursty,50,RISC-V-like,PRM,642.9450,674.1525,616.3853,0.9966,0.0320,0.8560,0.1052,3120.7434,57.8000,2.8900
bursty,50,RISC-V-like,PRR,669.2480,700.4554,546.0259,0.9966,0.0320,0.9160,0.1124,3120.7434,340.6000,17.0300
bursty,50,RISC-V-like,Proposed Hybrid,761.5879,792.7954,337.7217,0.9966,0.0320,0.9360,0.1100,3120.7434,326.0000,16.3000
bursty,100,RISC-V-like,Contextual Bandit RL,1742.0953,1771.7541,527.6567,0.9982,0.0337,0.9040,0.0800,5931.7654,630.2000,31.5100
bursty,100,RISC-V-like,PRM,1239.4426,1269.1013,1214.2806,0.9982,0.0337,0.9020,0.0779,5931.7654,114.2000,5.7100
bursty,100,RISC-V-like,PRR,1280.3039,1309.9627,1085.5765,0.9982,0.0337,0.9360,0.0657,5931.7654,688.6000,34.4300
bursty,100,RISC-V-like,Proposed Hybrid,1439.4093,1469.0682,780.0778,0.9982,0.0337,0.9560,0.0541,5931.7654,644.0000,32.2000
cpu_heavy,5,RISC-V-like,Contextual Bandit RL,122.6655,167.7794,25.9773,0.9868,0.0221,0.8800,0.6312,563.9238,31.4000,1.5700
cpu_heavy,5,RISC-V-like,PRM,82.7259,127.8398,62.7320,0.9868,0.0221,0.6000,0.2523,563.9238,5.0000,0.2500
cpu_heavy,5,RISC-V-like,PRR,84.6738,129.7877,50.4347,0.9868,0.0221,0.6800,0.3472,563.9238,15.2000,0.7600
cpu_heavy,5,RISC-V-like,Proposed Hybrid,107.4755,152.5894,24.7107,0.9868,0.0221,0.8000,0.6306,563.9238,30.2000,1.5100
cpu_heavy,10,RISC-V-like,Contextual Bandit RL,290.1021,335.5571,63.9431,0.9933,0.0219,0.9000,0.3176,1136.3752,84.2000,4.2100
cpu_heavy,10,RISC-V-like,PRM,187.3840,232.8390,166.2471,0.9933,0.0219,0.8000,0.1382,1136.3752,10.2000,0.5100
cpu_heavy,10,RISC-V-like,PRR,198.4090,243.8640,154.2736,0.9933,0.0219,0.8400,0.2308,1136.3752,52.6000,2.6300
cpu_heavy,10,RISC-V-like,Proposed Hybrid,256.9662,302.4212,69.1640,0.9933,0.0219,0.8800,0.2956,1136.3752,81.4000,4.0700
