scheduler,num_vms,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time,workload_type,seed
PRR,100,424.2335,437.6173,359.0386,0.9943,0.07429,82,0.82,0.1741,2007.57,322,16.1,1346.04,normal,4
PRM,100,419.9803,433.3641,403.1137,0.9943,0.07429,76,0.76,0.1599,2007.57,118,5.9,1346.04,normal,4
Contextual Bandit RL,100,492.9149,506.2987,235.542,0.9943,0.07429,71,0.71,0.1998,2007.57,284,14.2,1346.04,normal,4
Proposed Hybrid,100,463.9064,477.2902,289.8531,0.9943,0.07429,91,0.91,0.0651,2007.57,307,15.35,1346.04,normal,4
PRR,100,427.0033,439.6994,357.4864,0.9946,0.07834,83,0.83,0.1631,1904.415,311,15.55,1276.44,normal,5
PRM,100,402.1878,414.8839,390.8929,0.9946,0.07834,80,0.8,0.1937,1904.415,115,5.75,1276.44,normal,5
Contextual Bandit RL,100,591.9843,604.6804,207.2683,0.9946,0.07834,86,0.86,0.1298,1904.415,297,14.85,1276.44,normal,5
Proposed Hybrid,100,486.0466,498.7427,292.2048,0.9946,0.07834,93,0.93,0.093,1904.415,307,15.35,1276.44,normal,5
PRR,100,1959.124,1999.4038,1637.5964,0.9992,0.02481,100,1.0,0.3043,10069.95,1044,52.2,4031.03,cpu_heavy,1
PRM,100,1818.4381,1858.7179,1759.5206,0.9992,0.02481,95,0.95,0.0342,10069.95,105,5.25,4031.03,cpu_heavy,1
Contextual Bandit RL,100,3139.2849,3179.5647,805.1658,0.9992,0.02481,95,0.95,0.0409,10069.95,949,47.45,4031.03,cpu_heavy,1
Proposed Hybrid,100,2313.5067,2353.7865,1085.3888,0.9992,0.02481,98,0.98,0.0165,10069.95,964,48.2,4031.03,cpu_heavy,1
PRR,100,2046.2675,2088.071,1720.0381,0.9995,0.02391,98,0.98,0.0138,10450.875,1071,53.55,4182.4,cpu_heavy,2
PRM,100,1943.4016,1985.2051,1936.9261,0.9995,0.02391,96,0.96,0.0294,10450.875,103,5.15,4182.4,cpu_heavy,2
Contextual Bandit RL,100,3275.1322,3316.9357,835.7289,0.9995,0.02391,95,0.95,0.0448,10450.875,977,48.85,4182.4,cpu_heavy,2
Proposed Hybrid,100,2372.9343,2414.7378,1028.6238,0.9995,0.02391,95,0.95,0.0605,10450.875,988,49.4,4182.4,cpu_heavy,2
PRR,100,2016.0075,2056.4036,1675.5573,0.9997,0.02475,99,0.99,0.013,10099.025,1038,51.9,4040.95,cpu_heavy,3
PRM,100,1893.5294,1933.9255,1855.2501,0.9997,0.02475,95,0.95,0.0442,10099.025,147,7.35,4040.95,cpu_heavy,3
Contextual Bandit RL,100,3130.1173,3170.5134,654.4692,0.9997,0.02475,94,0.94,0.0627,10099.025,965,48.25,4040.95,cpu_heavy,3
Proposed Hybrid,100,2288.351,2328.7471,1124.9515,0.9997,0.02475,97,0.97,0.0564,10099.025,992,49.6,4040.95,cpu_heavy,3
PRR,100,2090.3374,2132.6946,1774.4429,0.9989,0.02358,98,0.98,0.0946,10589.3,1096,54.8,4240.49,cpu_heavy,4
PRM,100,1977.6059,2019.9631,1961.1085,0.9989,0.02358,95,0.95,0.0398,10589.3,105,5.25,4240.49,cpu_heavy,4
Contextual Bandit RL,100,3193.0172,3235.3744,767.58,0.9989,0.02358,94,0.94,0.0632,10589.3,1003,50.15,4240.49,cpu_heavy,4
Proposed Hybrid,100,2297.3692,2339.7264,1107.8604,0.9989,0.02358,97,0.97,0.0354,10589.3,1030,51.5,4240.49,cpu_heavy,4
PRR,100,1985.6691,2026.1914,1671.9537,0.999,0.02465,97,0.97,0.0167,10130.575,1036,51.8,4056.45,cpu_heavy,5
PRM,100,1888.0196,1928.5419,1869.4565,0.999,0.02465,98,0.98,0.0231,10130.575,118,5.9,4056.45,cpu_heavy,5
Contextual Bandit RL,100,3199.5258,3240.0481,763.816,0.999,0.02465,96,0.96,0.0453,10130.575,964,48.2,4056.45,cpu_heavy,5
Proposed Hybrid,100,2226.4318,2266.9541,1067.7495,0.999,0.02465,98,0.98,0.0827,10130.575,981,49.05,4056.45,cpu_heavy,5
PRR,100,1092.4635,1118.799,930.9553,0.9981,0.0379,92,0.92,0.0553,5267.1,648,32.4,2638.67,bursty,1
PRM,100,1023.5899,1049.9254,994.5123,0.9981,0.0379,87,0.87,0.096,5267.1,108,5.4,2638.67,bursty,1
Contextual Bandit RL,100,1424.6233,1450.9588,470.0552,0.9981,0.0379,87,0.87,0.0824,5267.1,590,29.5,2638.67,bursty,1
Proposed Hybrid,100,1359.8384,1386.1739,662.034,0.9981,0.0379,99,0.99,0.0535,5267.1,605,30.25,2638.67,bursty,1
PRR,100,1166.4494,1194.6135,987.5994,0.9991,0.03547,93,0.93,0.0598,5632.82,719,35.95,2819.03,bursty,2
PRM,100,1174.1246,1202.2887,1151.9582,0.9991,0.03547,88,0.88,0.0718,5632.82,108,5.4,2819.03,bursty,2
Contextual Bandit RL,100,1704.9676,1733.1317,512.8805,0.9991,0.03547,92,0.92,0.0574,5632.82,645,32.25,2819.03,bursty,2
Proposed Hybrid,100,1403.5941,1431.7582,686.9895,0.9991,0.03547,93,0.93,0.0928,5632.82,642,32.1,2819.03,bursty,2
PRR,100,1157.8137,1184.2891,974.8452,0.9997,0.03776,93,0.93,0.05,5295.08,665,33.25,2648.4,bursty,3
PRM,100,1115.8842,1142.3596,1083.2871,0.9997,0.03776,91,0.91,0.073,5295.08,137,6.85,2648.4,bursty,3
Contextual Bandit RL,100,1441.1483,1467.6237,479.0498,0.9997,0.03776,87,0.87,0.0824,5295.08,593,29.65,2648.4,bursty,3
Proposed Hybrid,100,1224.8998,1251.3752,714.571,0.9997,0.03776,92,0.92,0.0525,5295.08,611,30.55,2648.4,bursty,3
PRR,100,1227.081,1255.9097,1072.1602,0.9967,0.03457,91,0.91,0.094,5765.74,730,36.5,2892.3,bursty,4
PRM,100,1192.1842,1221.0129,1184.1792,0.9967,0.03457,87,0.87,0.0829,5765.74,109,5.45,2892.3,bursty,4
Contextual Bandit RL,100,1588.6982,1617.5269,485.2753,0.9967,0.03457,86,0.86,0.0829,5765.74,642,32.1,2892.3,bursty,4
Proposed Hybrid,100,1304.9108,1333.7395,743.8173,0.9967,0.03457,96,0.96,0.0282,5765.74,670,33.5,2892.3,bursty,4
PRR,100,1139.3512,1165.9781,966.927,0.997,0.03744,92,0.92,0.0833,5325.38,643,32.15,2670.74,bursty,5
PRM,100,1106.5914,1133.2183,1082.3648,0.997,0.03744,91,0.91,0.0758,5325.38,108,5.4,2670.74,bursty,5
Contextual Bandit RL,100,1390.2396,1416.8665,600.1881,0.997,0.03744,88,0.88,0.1317,5325.38,598,29.9,2670.74,bursty,5
Proposed Hybrid,100,1294.1884,1320.8153,694.0546,0.997,0.03744,98,0.98,0.0693,5325.38,625,31.25,2670.74,bursty,5
PRR,100,577.4394,595.0096,512.9106,0.9959,0.05668,87,0.87,0.1174,3162.636,413,20.65,1764.17,mixed,1
PRM,100,624.5501,642.1203,616.3937,0.9959,0.05668,79,0.79,0.171,3162.636,114,5.7,1764.17,mixed,1
Contextual Bandit RL,100,595.2631,612.8333,300.4767,0.9959,0.05668,73,0.73,0.2143,3162.636,335,16.75,1764.17,mixed,1
Proposed Hybrid,100,573.3614,590.9316,435.2903,0.9959,0.05668,89,0.89,0.0749,3162.636,341,17.05,1764.17,mixed,1
PRR,100,416.4715,431.2354,365.0988,0.9979,0.06759,77,0.77,0.2078,2657.502,341,17.05,1479.53,mixed,2
PRM,100,412.5017,427.2656,407.023,0.9979,0.06759,77,0.77,0.2081,2657.502,119,5.95,1479.53,mixed,2
Contextual Bandit RL,100,436.7273,451.4912,187.1411,0.9979,0.06759,69,0.69,0.3221,2657.502,310,15.5,1479.53,mixed,2
Proposed Hybrid,100,434.4216,449.1855,283.5455,0.9979,0.06759,91,0.91,0.0868,2657.502,334,16.7,1479.53,mixed,2
PRR,100,436.8166,452.7653,365.6491,0.9994,0.06266,78,0.78,0.1819,2870.766,354,17.7,1595.9,mixed,3
PRM,100,507.8576,523.8063,488.3024,0.9994,0.06266,76,0.76,0.1906,2870.766,114,5.7,1595.9,mixed,3
Contextual Bandit RL,100,655.4133,671.362,329.4101,0.9994,0.06266,82,0.82,0.1185,2870.766,345,17.25,1595.9,mixed,3
Proposed Hybrid,100,565.9152,581.8639,400.3429,0.9994,0.06266,88,0.88,0.0795,2870.766,346,17.3,1595.9,mixed,3
PRR,100,313.4132,327.1696,270.0634,0.9918,0.0721,71,0.71,0.2234,2476.152,290,14.5,1386.96,mixed,4
PRM,100,334.4726,348.229,319.0276,0.9918,0.0721,73,0.73,0.2538,2476.152,128,6.4,1386.96,mixed,4
Contextual Bandit RL,100,334.1772,347.9336,139.4225,0.9918,0.0721,69,0.69,0.2476,2476.152,261,13.05,1386.96,mixed,4
Proposed Hybrid,100,343.7794,357.5358,254.4468,0.9918,0.0721,86,0.86,0.1267,2476.152,268,13.4,1386.96,mixed,4
PRR,100,350.8276,365.4125,306.1251,0.9934,0.06811,73,0.73,0.2688,2625.282,310,15.5,1468.15,mixed,5
PRM,100,398.5842,413.1691,388.4537,0.9934,0.06811,71,0.71,0.28,2625.282,120,6.0,1468.15,mixed,5
Contextual Bandit RL,100,490.2334,504.8183,217.2634,0.9934,0.06811,80,0.8,0.2015,2625.282,294,14.7,1468.15,mixed,5
Proposed Hybrid,100,433.5312,448.1161,289.3574,0.9934,0.06811,92,0.92,0.0963,2625.282,323,16.15,1468.15,mixed,5
