scheduler,num_vms,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time,workload_type,seed
PRR,10,17.486,26.929,14.217,0.893,0.09456,4,0.4,0.3407,169.974,18,0.9,105.75,mixed,4
PRM,10,21.84,31.283,17.252,0.893,0.09456,6,0.6,0.411,169.974,11,0.55,105.75,mixed,4
Contextual Bandit RL,10,37.033,46.476,9.972,0.893,0.09456,8,0.8,0.3118,169.974,18,0.9,105.75,mixed,4
Proposed Hybrid,10,17.537,26.98,11.158,0.893,0.09456,7,0.7,0.8171,169.974,18,0.9,105.75,mixed,4
PRR,10,44.674,59.573,38.233,0.9391,0.06303,6,0.6,0.4149,268.182,16,0.8,158.65,mixed,5
PRM,10,44.554,59.453,42.67,0.9391,0.06303,7,0.7,0.3604,268.182,11,0.55,158.65,mixed,5
Contextual Bandit RL,10,51.996,66.895,31.175,0.9391,0.06303,8,0.8,0.2972,268.182,20,1.0,158.65,mixed,5
Proposed Hybrid,10,40.03,54.929,23.389,0.9391,0.06303,6,0.6,0.3184,268.182,22,1.1,158.65,mixed,5
PRR,20,0.1565,5.727,0.1565,0.5354,0.09612,0,0.0,0.9646,111.41,19,0.95,208.08,light,1
PRM,20,0.1565,5.727,0.1565,0.5354,0.09612,0,0.0,0.9646,111.41,19,0.95,208.08,light,1
Contextual Bandit RL,20,0.1565,5.727,0.1565,0.5354,0.09612,0,0.0,0.9646,111.41,19,0.95,208.08,light,1
Proposed Hybrid,20,0.1565,5.727,0.1565,0.5354,0.09612,0,0.0,0.9646,111.41,19,0.95,208.08,light,1
PRR,20,0.167,5.2715,0.167,0.5056,0.09906,1,0.05,0.9643,102.09,19,0.95,201.9,light,2
PRM,20,0.167,5.2715,0.167,0.5056,0.09906,1,0.05,0.9643,102.09,19,0.95,201.9,light,2
Contextual Bandit RL,20,0.167,5.2715,0.167,0.5056,0.09906,1,0.05,0.9643,102.09,19,0.95,201.9,light,2
Proposed Hybrid,20,0.167,5.2715,0.167,0.5056,0.09906,1,0.05,0.9643,102.09,19,0.95,201.9,light,2
PRR,20,0.0,5.2105,0.0,0.5052,0.09696,0,0.0,1.0,104.21,19,0.95,206.26,light,3
PRM,20,0.0,5.2105,0.0,0.5052,0.09696,0,0.0,1.0,104.21,19,0.95,206.26,light,3
Contextual Bandit RL,20,0.0,5.2105,0.0,0.5052,0.09696,0,0.0,1.0,104.21,19,0.95,206.26,light,3
Proposed Hybrid,20,0.0,5.2105,0.0,0.5052,0.09696,0,0.0,1.0,104.21,19,0.95,206.26,light,3
PRR,20,-0.0,4.9665,0.0,0.4315,0.08688,0,0.0,1.0,99.33,19,0.95,230.21,light,4
PRM,20,-0.0,4.9665,0.0,0.4315,0.08688,0,0.0,1.0,99.33,19,0.95,230.21,light,4
Contextual Bandit RL,20,-0.0,4.9665,0.0,0.4315,0.08688,0,0.0,1.0,99.33,19,0.95,230.21,light,4
Proposed Hybrid,20,-0.0,4.9665,0.0,0.4315,0.08688,0,0.0,1.0,99.33,19,0.95,230.21,light,4
PRR,20,-0.0,5.2735,0.0,0.4657,0.08832,0,0.0,1.0,105.47,19,0.95,226.46,light,5
PRM,20,-0.0,5.2735,0.0,0.4657,0.08832,0,0.0,1.0,105.47,19,0.95,226.46,light,5
Contextual Bandit RL,20,-0.0,5.2735,0.0,0.4657,0.08832,0,0.0,1.0,105.47,19,0.95,226.46,light,5
Proposed Hybrid,20,-0.0,5.2735,0.0,0.4657,0.08832,0,0.0,1.0,105.47,19,0.95,226.46,light,5
